"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(43, 15)","(45, 38)","(59, 45)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(43, 15)","(45, 38)","(59, 45)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(65, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(65, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(65, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(65, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(81, 16)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(81, 16)","(68, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(81, 16)","(68, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(81, 16)","(68, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(64, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(61, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(65, 46)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(43, 15)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
"(44, 13)","(45, 38)","(58, 45)","(84, 41)","(83, 17)","(67, 9)",,,,,,,
"(46, 18)","(62, 12)","(82, 23)","(81, 38)","(64, 43)","(45, 33)",,,,,,,
