Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning,(x1,y1),(x2,y2),(x3,y3),(x4,y4),(x5,y5),(x6,y6)
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(67, 17)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(63, 17)"
"(44, 23)","(45, 47)","(59, 54)","(85, 48)","(82, 25)","(67, 17)"
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(66, 17)"
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(67, 18)"
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(67, 17)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(67, 17)"
"(67, 17)","(43, 24)","(43, 45)","(59, 54)","(85, 48)","(84, 27)"
"(67, 17)","(43, 25)","(43, 45)","(59, 54)","(85, 48)","(84, 27)"
"(44, 22)","(43, 45)","(60, 55)","(84, 50)","(81, 24)","(64, 17)"
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(64, 17)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(83, 25)","(67, 17)"
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(67, 17)"
"(43, 24)","(45, 47)","(59, 54)","(85, 48)","(82, 25)","(67, 17)"
"(43, 24)","(45, 47)","(60, 55)","(85, 48)","(82, 25)","(68, 18)"
"(44, 22)","(45, 47)","(59, 54)","(85, 48)","(82, 25)","(64, 17)"
"(44, 22)","(45, 47)","(59, 54)","(85, 48)","(82, 25)","(67, 17)"
"(44, 23)","(45, 47)","(59, 54)","(85, 48)","(82, 25)","(67, 17)"
"(67, 17)","(43, 24)","(43, 45)","(59, 54)","(85, 48)","(83, 25)"
"(44, 22)","(43, 45)","(59, 54)","(84, 50)","(81, 24)","(66, 17)"
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(67, 18)"
"(66, 17)","(47, 21)","(42, 44)","(61, 55)","(85, 48)","(84, 27)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(66, 17)"
"(43, 24)","(45, 47)","(60, 55)","(85, 49)","(83, 26)","(67, 18)"
"(44, 22)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(66, 17)"
"(44, 23)","(45, 47)","(58, 54)","(84, 50)","(83, 26)","(68, 18)"
"(67, 17)","(43, 24)","(43, 45)","(59, 54)","(85, 48)","(84, 27)"
"(67, 17)","(43, 25)","(43, 45)","(59, 54)","(85, 48)","(83, 25)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(83, 25)","(67, 18)"
"(43, 24)","(45, 47)","(58, 54)","(84, 50)","(83, 26)","(67, 18)"
"(67, 17)","(43, 24)","(43, 45)","(59, 54)","(85, 48)","(84, 27)"
"(66, 17)","(43, 25)","(43, 45)","(59, 54)","(85, 48)","(84, 27)"
"(66, 17)","(43, 25)","(43, 45)","(59, 54)","(85, 48)","(84, 27)"
"(44, 23)","(45, 47)","(58, 54)","(84, 50)","(83, 26)","(66, 17)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(82, 25)","(67, 17)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(68, 18)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(83, 25)","(68, 18)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(68, 18)"
"(43, 24)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(67, 18)"
"(67, 17)","(43, 24)","(44, 46)","(59, 54)","(85, 48)","(84, 27)"
"(67, 17)","(43, 25)","(43, 45)","(59, 54)","(85, 48)","(84, 27)"
"(44, 23)","(45, 47)","(59, 54)","(84, 50)","(83, 26)","(68, 18)"
"(67, 17)","(43, 25)","(44, 46)","(59, 54)","(85, 48)","(84, 27)"
"(67, 17)","(47, 21)","(43, 45)","(63, 55)","(85, 48)","(84, 27)"
