"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(80, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(83, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(83, 63)","(103, 56)","(99, 33)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(83, 63)","(103, 56)","(101, 34)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(76, 62)","(103, 56)","(101, 34)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(76, 62)","(103, 56)","(101, 34)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(76, 62)","(103, 56)","(101, 34)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(83, 63)","(103, 56)","(101, 34)","(85, 26)",,,,,,,
"(61, 32)","(63, 55)","(83, 63)","(103, 56)","(101, 34)","(85, 26)",,,,,,,
,,,,,,2025:01:23_17:11,2025:01:23_17:11,7s,1.0,0.0,0.0,0.0
