"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(17, 16)","(34, 10)","(48, 16)","(52, 37)","(26, 39)","(16, 31)","(34, 26)",2025:01:24_03:42,2025:01:24_10:59,26233s,1.0,0.0,0.0,0.0
"(17, 16)","(34, 10)","(48, 16)","(52, 37)","(33, 42)","(19, 35)","(34, 26)",,,,,,,
"(16, 18)","(36, 10)","(52, 19)","(53, 35)","(28, 40)","(16, 31)","(34, 26)",,,,,,,
"(17, 16)","(34, 10)","(49, 16)","(52, 37)","(26, 39)","(16, 31)","(34, 26)",,,,,,,
"(17, 16)","(34, 10)","(53, 21)","(53, 35)","(33, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(53, 21)","(53, 35)","(33, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(33, 10)","(49, 16)","(53, 35)","(35, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(33, 10)","(53, 21)","(52, 37)","(26, 39)","(16, 31)","(34, 26)",,,,,,,
"(17, 16)","(34, 10)","(49, 16)","(53, 35)","(28, 40)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(49, 16)","(53, 35)","(33, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(33, 10)","(47, 15)","(53, 35)","(28, 40)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(52, 19)","(52, 37)","(26, 39)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(33, 10)","(53, 21)","(53, 35)","(34, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(53, 21)","(53, 35)","(30, 41)","(17, 32)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(49, 16)","(52, 37)","(33, 42)","(21, 36)","(34, 26)",,,,,,,
"(17, 16)","(37, 10)","(50, 17)","(52, 37)","(33, 42)","(21, 36)","(34, 25)",,,,,,,
"(17, 16)","(41, 12)","(53, 21)","(53, 35)","(33, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(41, 12)","(53, 21)","(53, 35)","(33, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(53, 21)","(53, 35)","(34, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(53, 21)","(53, 35)","(34, 42)","(16, 31)","(34, 25)",,,,,,,
"(17, 16)","(41, 12)","(52, 19)","(53, 35)","(34, 42)","(19, 35)","(34, 25)",,,,,,,
"(17, 16)","(39, 11)","(52, 19)","(53, 35)","(34, 42)","(19, 35)","(34, 25)",,,,,,,
"(17, 16)","(34, 10)","(53, 21)","(53, 35)","(28, 40)","(16, 31)","(34, 25)",,,,,,,
