"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(27, 35)","(29, 58)","(42, 65)","(68, 61)","(66, 36)","(50, 28)",2025:01:24_03:17,2025:01:24_03:18,17s,1.0,0.0,0.0,0.0
"(30, 37)","(51, 32)","(64, 39)","(65, 58)","(41, 61)","(29, 52)",,,,,,,
"(30, 37)","(49, 31)","(64, 39)","(65, 58)","(41, 61)","(29, 52)",,,,,,,
"(30, 38)","(49, 31)","(66, 42)","(65, 58)","(39, 60)","(29, 51)",,,,,,,
"(30, 38)","(49, 31)","(65, 40)","(66, 56)","(41, 61)","(29, 51)",,,,,,,
"(28, 32)","(28, 57)","(43, 65)","(68, 61)","(67, 37)","(50, 28)",,,,,,,
"(30, 37)","(51, 32)","(65, 41)","(66, 56)","(41, 61)","(29, 51)",,,,,,,
"(30, 37)","(49, 31)","(62, 38)","(65, 58)","(44, 62)","(32, 56)",,,,,,,
"(30, 37)","(49, 31)","(62, 38)","(65, 58)","(41, 61)","(29, 51)",,,,,,,
"(30, 38)","(49, 31)","(61, 37)","(65, 58)","(45, 62)","(32, 56)",,,,,,,
"(27, 34)","(29, 58)","(43, 65)","(68, 61)","(66, 36)","(50, 28)",,,,,,,
"(27, 34)","(29, 58)","(43, 65)","(70, 59)","(66, 36)","(50, 28)",,,,,,,
"(30, 37)","(45, 32)","(61, 37)","(65, 58)","(47, 63)","(29, 51)",,,,,,,
"(30, 37)","(48, 31)","(61, 37)","(66, 56)","(41, 61)","(29, 51)",,,,,,,
"(27, 35)","(29, 58)","(42, 65)","(68, 61)","(66, 36)","(49, 28)",,,,,,,
"(27, 35)","(31, 59)","(43, 65)","(68, 61)","(66, 36)","(49, 28)",,,,,,,
