"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(42, 33)","(58, 27)","(78, 38)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",2025:01:24_03:40,2025:01:24_03:40,28s,1.0,0.0,0.0,0.0
"(40, 29)","(42, 54)","(55, 61)","(81, 55)","(79, 33)","(61, 24)","(59, 43)",,,,,,,
"(42, 33)","(58, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(59, 27)","(78, 38)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(59, 27)","(78, 38)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(66, 29)","(77, 36)","(78, 52)","(53, 57)","(41, 48)","(59, 43)",,,,,,,
"(42, 33)","(66, 29)","(77, 36)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(66, 29)","(77, 36)","(78, 52)","(58, 59)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(66, 29)","(77, 36)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(61, 27)","(76, 35)","(78, 52)","(58, 59)","(42, 50)","(41, 35)","(59, 43)",,,,,,,
"(42, 33)","(57, 28)","(74, 33)","(78, 52)","(58, 59)","(44, 52)","(59, 43)",,,,,,,
"(42, 33)","(64, 28)","(77, 37)","(78, 52)","(53, 57)","(41, 48)","(59, 43)",,,,,,,
"(42, 33)","(59, 27)","(73, 33)","(78, 52)","(51, 56)","(41, 48)","(59, 43)",,,,,,,
"(42, 33)","(59, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 43)",,,,,,,
"(42, 33)","(60, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(59, 27)","(73, 33)","(78, 52)","(58, 59)","(41, 47)","(59, 42)",,,,,,,
"(42, 33)","(66, 29)","(77, 37)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(59, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(59, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(59, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 43)",,,,,,,
"(42, 33)","(59, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 43)",,,,,,,
"(42, 33)","(58, 27)","(73, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(58, 27)","(74, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(42, 33)","(61, 27)","(75, 34)","(78, 52)","(53, 57)","(41, 48)","(59, 43)",,,,,,,
"(42, 33)","(59, 27)","(74, 33)","(78, 52)","(53, 57)","(41, 48)","(59, 42)",,,,,,,
"(40, 28)","(42, 54)","(56, 61)","(80, 57)","(79, 33)","(59, 24)","(59, 43)",,,,,,,
"(39, 30)","(42, 54)","(55, 61)","(80, 57)","(79, 33)","(59, 24)","(59, 43)",,,,,,,
"(39, 30)","(42, 54)","(55, 61)","(81, 55)","(79, 33)","(60, 24)","(59, 43)",,,,,,,
