"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(39, 23)","(41, 46)","(55, 53)","(81, 50)","(78, 24)","(62, 16)",2025:01:24_03:04,2025:01:24_03:04,13s,1.0,0.0,0.0,0.0
"(39, 23)","(41, 46)","(55, 53)","(81, 50)","(78, 24)","(62, 16)",,,,,,,
"(41, 17)","(41, 46)","(56, 54)","(80, 49)","(77, 24)","(62, 16)",,,,,,,
"(41, 17)","(41, 46)","(56, 54)","(80, 49)","(77, 24)","(62, 16)",,,,,,,
"(42, 25)","(57, 20)","(73, 25)","(78, 44)","(59, 51)","(42, 41)",,,,,,,
"(42, 25)","(57, 20)","(73, 25)","(78, 44)","(59, 51)","(42, 41)",,,,,,,
"(42, 25)","(66, 21)","(78, 30)","(78, 44)","(59, 51)","(42, 41)",,,,,,,
"(42, 25)","(66, 21)","(78, 30)","(78, 44)","(59, 51)","(42, 41)",,,,,,,
"(42, 26)","(64, 20)","(78, 30)","(78, 44)","(54, 49)","(42, 41)",,,,,,,
"(42, 26)","(64, 20)","(78, 30)","(78, 44)","(54, 49)","(42, 41)",,,,,,,
"(42, 26)","(61, 19)","(78, 30)","(78, 44)","(54, 49)","(42, 41)",,,,,,,
"(42, 26)","(61, 19)","(78, 30)","(78, 44)","(54, 49)","(42, 41)",,,,,,,
"(42, 25)","(59, 19)","(73, 25)","(78, 44)","(62, 50)","(41, 40)",,,,,,,
"(39, 22)","(43, 47)","(56, 54)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(42, 25)","(59, 19)","(73, 25)","(78, 44)","(62, 50)","(41, 40)",,,,,,,
"(39, 22)","(43, 47)","(56, 54)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(42, 25)","(59, 19)","(73, 25)","(78, 44)","(62, 50)","(44, 44)",,,,,,,
"(39, 22)","(43, 47)","(56, 54)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(42, 25)","(59, 19)","(73, 25)","(78, 44)","(62, 50)","(44, 44)",,,,,,,
"(39, 22)","(43, 47)","(56, 54)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(40, 20)","(42, 46)","(55, 53)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(40, 20)","(42, 46)","(55, 53)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(40, 20)","(42, 46)","(55, 53)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(40, 20)","(42, 46)","(55, 53)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(40, 20)","(42, 46)","(55, 53)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
"(40, 20)","(42, 46)","(55, 53)","(80, 49)","(78, 24)","(62, 16)",,,,,,,
