"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(46, 29)","(48, 55)","(62, 62)","(86, 57)","(84, 32)","(68, 24)",2025:01:24_01:08,2025:01:24_01:10,105s,1.0,0.0,0.0,0.0
"(46, 29)","(48, 55)","(62, 62)","(86, 57)","(84, 32)","(68, 24)",,,,,,,
"(45, 30)","(49, 55)","(62, 62)","(88, 55)","(85, 33)","(68, 24)",,,,,,,
"(45, 30)","(49, 55)","(62, 62)","(88, 55)","(84, 32)","(68, 24)",,,,,,,
"(46, 28)","(49, 55)","(61, 61)","(88, 55)","(84, 32)","(68, 24)",,,,,,,
"(46, 28)","(49, 55)","(61, 61)","(88, 55)","(84, 32)","(68, 24)",,,,,,,
"(46, 28)","(49, 55)","(61, 61)","(88, 55)","(84, 32)","(68, 24)",,,,,,,
"(46, 28)","(46, 53)","(62, 62)","(88, 55)","(82, 31)","(66, 24)",,,,,,,
"(48, 34)","(64, 28)","(79, 33)","(83, 54)","(59, 57)","(47, 47)",,,,,,,
"(46, 28)","(49, 55)","(62, 62)","(88, 55)","(82, 31)","(67, 24)",,,,,,,
"(48, 34)","(63, 28)","(84, 38)","(83, 54)","(59, 57)","(47, 47)",,,,,,,
"(46, 28)","(49, 55)","(62, 62)","(88, 55)","(82, 31)","(67, 24)",,,,,,,
"(48, 34)","(63, 28)","(84, 38)","(83, 54)","(59, 57)","(47, 47)",,,,,,,
"(46, 28)","(49, 55)","(62, 62)","(88, 55)","(82, 31)","(67, 24)",,,,,,,
"(47, 35)","(67, 27)","(83, 37)","(84, 52)","(62, 58)","(47, 48)",,,,,,,
"(46, 29)","(48, 54)","(61, 61)","(85, 59)","(83, 31)","(68, 24)",,,,,,,
"(48, 34)","(67, 27)","(83, 36)","(84, 52)","(62, 58)","(47, 48)",,,,,,,
"(46, 29)","(48, 54)","(61, 61)","(85, 59)","(85, 33)","(68, 24)",,,,,,,
"(47, 35)","(67, 27)","(83, 36)","(84, 52)","(62, 58)","(47, 48)",,,,,,,
"(46, 29)","(48, 54)","(61, 61)","(85, 59)","(85, 33)","(68, 24)",,,,,,,
"(46, 28)","(48, 54)","(61, 61)","(86, 57)","(84, 32)","(68, 24)",,,,,,,
"(48, 33)","(63, 28)","(79, 33)","(84, 52)","(68, 58)","(50, 52)",,,,,,,
"(45, 30)","(47, 54)","(60, 61)","(86, 57)","(83, 31)","(68, 24)",,,,,,,
"(48, 33)","(63, 28)","(79, 33)","(84, 52)","(68, 58)","(47, 48)",,,,,,,
"(45, 30)","(47, 54)","(60, 61)","(86, 57)","(83, 31)","(68, 24)",,,,,,,
"(45, 31)","(46, 53)","(61, 61)","(86, 56)","(84, 32)","(68, 24)",,,,,,,
"(45, 31)","(46, 53)","(61, 61)","(86, 56)","(84, 32)","(68, 24)",,,,,,,
"(45, 31)","(46, 53)","(61, 61)","(86, 56)","(84, 32)","(68, 24)",,,,,,,
"(46, 29)","(46, 53)","(61, 61)","(85, 58)","(84, 32)","(68, 24)",,,,,,,
"(46, 29)","(46, 53)","(61, 61)","(85, 58)","(84, 32)","(68, 24)",,,,,,,
"(67, 27)","(83, 36)","(84, 52)","(64, 59)","(47, 48)","(47, 35)",,,,,,,
"(45, 30)","(47, 54)","(62, 62)","(87, 55)","(84, 32)","(68, 24)",,,,,,,
"(67, 27)","(83, 36)","(84, 52)","(64, 59)","(48, 49)","(47, 35)",,,,,,,
"(45, 30)","(47, 54)","(62, 62)","(87, 55)","(84, 32)","(68, 24)",,,,,,,
"(67, 27)","(83, 36)","(84, 52)","(64, 59)","(47, 48)","(47, 35)",,,,,,,
