"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(38, 21)","(40, 46)","(53, 53)","(78, 48)","(76, 24)","(58, 16)","(57, 35)",2025:01:24_03:37,2025:01:24_03:38,96s,1.0,0.0,0.0,0.0
"(37, 22)","(39, 46)","(53, 53)","(78, 48)","(74, 23)","(59, 16)","(57, 35)",,,,,,,
"(37, 23)","(36, 42)","(49, 52)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(37, 23)","(36, 42)","(49, 52)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(37, 22)","(41, 47)","(53, 53)","(78, 49)","(75, 23)","(60, 16)","(57, 35)",,,,,,,
"(37, 22)","(41, 47)","(53, 53)","(78, 49)","(75, 23)","(60, 16)","(57, 35)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(59, 50)","(39, 40)","(57, 34)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(40, 25)","(59, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 41)","(57, 35)",,,,,,,
"(40, 25)","(59, 19)","(71, 25)","(75, 46)","(60, 50)","(39, 41)","(57, 35)",,,,,,,
"(37, 23)","(39, 46)","(53, 53)","(78, 49)","(76, 24)","(59, 16)","(57, 35)",,,,,,,
"(37, 23)","(39, 46)","(57, 54)","(78, 49)","(76, 24)","(59, 16)","(57, 35)",,,,,,,
"(40, 25)","(63, 21)","(76, 30)","(76, 44)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(41, 24)","(59, 19)","(72, 26)","(76, 44)","(60, 50)","(39, 40)","(57, 35)",,,,,,,
"(39, 27)","(61, 20)","(76, 30)","(76, 44)","(54, 50)","(40, 42)","(57, 35)",,,,,,,
"(40, 26)","(63, 21)","(75, 28)","(76, 44)","(54, 50)","(39, 40)","(57, 35)",,,,,,,
"(37, 23)","(36, 43)","(55, 54)","(80, 47)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(37, 23)","(41, 47)","(53, 53)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(37, 23)","(41, 47)","(53, 53)","(78, 49)","(74, 23)","(60, 16)","(57, 35)",,,,,,,
"(38, 20)","(41, 47)","(53, 53)","(78, 49)","(75, 23)","(59, 16)","(57, 35)",,,,,,,
"(38, 20)","(41, 47)","(53, 53)","(78, 49)","(75, 23)","(59, 16)","(57, 35)",,,,,,,
"(40, 25)","(59, 19)","(75, 28)","(76, 44)","(60, 50)","(39, 40)","(57, 35)",,,,,,,
"(40, 25)","(59, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 40)","(57, 35)",,,,,,,
"(37, 22)","(39, 46)","(53, 53)","(79, 47)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(40, 26)","(57, 19)","(71, 25)","(75, 46)","(61, 50)","(39, 40)","(57, 35)",,,,,,,
"(40, 26)","(59, 19)","(74, 28)","(76, 44)","(54, 50)","(39, 40)","(57, 35)",,,,,,,
"(40, 26)","(59, 19)","(74, 28)","(76, 44)","(54, 50)","(39, 40)","(57, 35)",,,,,,,
"(37, 22)","(36, 43)","(49, 52)","(79, 48)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(37, 22)","(36, 43)","(47, 51)","(79, 47)","(74, 23)","(60, 16)","(57, 35)",,,,,,,
"(37, 22)","(41, 47)","(53, 53)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(38, 20)","(41, 47)","(53, 53)","(78, 49)","(74, 23)","(60, 16)","(57, 35)",,,,,,,
"(40, 25)","(64, 21)","(76, 30)","(76, 44)","(51, 49)","(39, 40)","(57, 34)",,,,,,,
"(40, 25)","(64, 21)","(76, 30)","(76, 44)","(51, 49)","(39, 39)","(57, 34)",,,,,,,
"(40, 25)","(64, 21)","(76, 30)","(76, 44)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(38, 20)","(39, 46)","(54, 54)","(79, 47)","(75, 23)","(60, 16)","(57, 34)",,,,,,,
"(38, 20)","(39, 46)","(54, 54)","(79, 47)","(75, 23)","(60, 16)","(57, 35)",,,,,,,
"(40, 25)","(60, 19)","(75, 29)","(76, 44)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(37, 22)","(36, 42)","(54, 54)","(80, 47)","(74, 23)","(60, 16)","(57, 35)",,,,,,,
"(40, 25)","(59, 19)","(71, 25)","(76, 47)","(54, 50)","(42, 44)","(57, 35)",,,,,,,
"(40, 25)","(57, 19)","(75, 30)","(76, 47)","(54, 50)","(42, 44)","(57, 35)",,,,,,,
"(37, 23)","(39, 46)","(53, 53)","(79, 47)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(37, 23)","(41, 47)","(53, 53)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(40, 26)","(59, 19)","(75, 28)","(76, 44)","(54, 50)","(39, 40)","(57, 34)",,,,,,,
"(40, 26)","(59, 19)","(75, 28)","(76, 44)","(54, 50)","(40, 42)","(57, 35)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(57, 51)","(39, 39)","(57, 34)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(57, 51)","(39, 39)","(57, 34)",,,,,,,
"(38, 21)","(39, 46)","(53, 53)","(80, 47)","(75, 23)","(60, 16)","(57, 35)",,,,,,,
"(38, 21)","(36, 42)","(47, 51)","(80, 47)","(75, 23)","(60, 16)","(57, 34)",,,,,,,
"(39, 19)","(39, 46)","(54, 54)","(77, 50)","(76, 24)","(59, 16)","(57, 35)",,,,,,,
"(40, 25)","(64, 21)","(75, 29)","(75, 45)","(54, 50)","(42, 44)","(57, 34)",,,,,,,
"(40, 25)","(56, 19)","(71, 25)","(76, 44)","(51, 49)","(39, 40)","(57, 35)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(37, 23)","(39, 46)","(54, 54)","(78, 49)","(74, 23)","(59, 16)","(57, 35)",,,,,,,
"(37, 23)","(39, 46)","(54, 54)","(78, 49)","(76, 24)","(59, 16)","(57, 35)",,,,,,,
"(38, 21)","(39, 46)","(53, 53)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(40, 26)","(64, 21)","(76, 30)","(76, 44)","(54, 50)","(40, 41)","(57, 35)",,,,,,,
"(40, 26)","(64, 21)","(76, 30)","(76, 44)","(54, 50)","(40, 41)","(57, 35)",,,,,,,
"(40, 26)","(61, 20)","(75, 29)","(76, 44)","(54, 50)","(40, 42)","(57, 35)",,,,,,,
"(38, 20)","(37, 44)","(54, 54)","(78, 49)","(78, 26)","(58, 16)","(57, 35)",,,,,,,
"(40, 25)","(62, 20)","(76, 30)","(76, 44)","(61, 50)","(39, 40)","(57, 35)",,,,,,,
"(60, 19)","(75, 28)","(76, 44)","(57, 51)","(40, 42)","(39, 27)","(57, 35)",,,,,,,
"(40, 25)","(62, 20)","(75, 28)","(76, 44)","(57, 51)","(39, 40)","(57, 35)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 40)","(57, 35)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 40)","(57, 35)",,,,,,,
"(37, 22)","(39, 46)","(53, 53)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(38, 20)","(38, 45)","(53, 53)","(78, 51)","(78, 26)","(60, 16)","(57, 35)",,,,,,,
"(40, 25)","(58, 19)","(72, 25)","(75, 45)","(61, 50)","(39, 40)","(57, 34)",,,,,,,
"(40, 26)","(59, 19)","(76, 30)","(76, 44)","(52, 49)","(39, 40)","(57, 35)",,,,,,,
"(37, 22)","(39, 46)","(53, 53)","(78, 49)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(38, 21)","(39, 46)","(53, 53)","(77, 50)","(76, 24)","(60, 16)","(57, 35)",,,,,,,
"(39, 27)","(59, 19)","(75, 28)","(76, 44)","(52, 49)","(40, 41)","(57, 34)",,,,,,,
"(40, 25)","(59, 19)","(73, 26)","(76, 44)","(59, 50)","(39, 39)","(57, 34)",,,,,,,
"(40, 25)","(55, 20)","(71, 25)","(76, 44)","(57, 51)","(39, 40)","(57, 35)",,,,,,,
"(40, 25)","(55, 20)","(71, 25)","(76, 44)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(40, 25)","(57, 19)","(71, 25)","(75, 46)","(54, 50)","(41, 43)","(57, 34)",,,,,,,
"(39, 19)","(39, 46)","(54, 54)","(80, 47)","(74, 23)","(60, 16)","(57, 35)",,,,,,,
"(40, 25)","(59, 19)","(71, 25)","(76, 44)","(60, 50)","(39, 41)","(57, 34)",,,,,,,
"(38, 21)","(40, 46)","(54, 54)","(78, 49)","(75, 23)","(60, 16)","(57, 35)",,,,,,,
"(40, 26)","(59, 19)","(76, 30)","(75, 45)","(61, 50)","(39, 40)","(57, 35)",,,,,,,
"(40, 26)","(59, 19)","(71, 25)","(75, 45)","(60, 50)","(39, 40)","(57, 34)",,,,,,,
"(40, 26)","(59, 19)","(76, 30)","(75, 45)","(60, 50)","(39, 40)","(57, 35)",,,,,,,
"(40, 26)","(59, 19)","(76, 30)","(75, 45)","(51, 49)","(39, 40)","(57, 35)",,,,,,,
