"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(6, 23)","(28, 17)","(42, 27)","(41, 42)","(17, 46)","(6, 38)",2025:01:24_03:05,2025:01:24_03:05,17s,1.0,0.0,0.0,0.0
"(4, 17)","(4, 42)","(19, 50)","(44, 46)","(43, 21)","(26, 13)",,,,,,,
"(6, 23)","(28, 17)","(42, 27)","(41, 42)","(17, 46)","(6, 38)",,,,,,,
"(4, 17)","(4, 42)","(19, 50)","(44, 46)","(43, 21)","(26, 13)",,,,,,,
"(6, 23)","(28, 17)","(42, 27)","(41, 42)","(17, 46)","(5, 36)",,,,,,,
"(4, 17)","(4, 42)","(19, 50)","(44, 46)","(41, 20)","(26, 13)",,,,,,,
"(6, 23)","(28, 17)","(42, 27)","(41, 42)","(17, 46)","(5, 36)",,,,,,,
"(4, 17)","(4, 42)","(19, 50)","(44, 46)","(41, 20)","(26, 13)",,,,,,,
"(6, 22)","(24, 16)","(37, 22)","(42, 41)","(22, 48)","(5, 36)",,,,,,,
"(6, 22)","(24, 16)","(37, 22)","(42, 41)","(22, 48)","(5, 36)",,,,,,,
"(25, 16)","(41, 25)","(42, 41)","(22, 48)","(6, 38)","(5, 24)",,,,,,,
"(25, 16)","(41, 25)","(42, 41)","(22, 48)","(6, 38)","(5, 24)",,,,,,,
"(6, 23)","(28, 17)","(42, 27)","(41, 43)","(17, 46)","(5, 36)",,,,,,,
"(5, 16)","(6, 43)","(19, 50)","(44, 46)","(42, 21)","(26, 13)",,,,,,,
"(6, 23)","(28, 17)","(42, 27)","(41, 43)","(17, 46)","(5, 36)",,,,,,,
"(5, 16)","(6, 43)","(19, 50)","(44, 46)","(42, 21)","(26, 13)",,,,,,,
"(5, 24)","(26, 16)","(42, 27)","(42, 41)","(17, 46)","(6, 38)",,,,,,,
"(5, 16)","(6, 43)","(19, 50)","(44, 46)","(42, 21)","(26, 13)",,,,,,,
"(5, 24)","(26, 16)","(42, 27)","(42, 41)","(17, 46)","(6, 38)",,,,,,,
"(5, 16)","(6, 43)","(19, 50)","(44, 46)","(42, 21)","(26, 13)",,,,,,,
"(6, 23)","(26, 16)","(42, 27)","(41, 43)","(23, 48)","(5, 36)",,,,,,,
"(6, 23)","(26, 16)","(42, 27)","(41, 43)","(23, 48)","(5, 36)",,,,,,,
"(6, 23)","(23, 16)","(39, 23)","(41, 43)","(23, 48)","(5, 36)",,,,,,,
"(6, 23)","(23, 16)","(39, 23)","(41, 43)","(23, 48)","(5, 36)",,,,,,,
"(5, 14)","(6, 43)","(19, 50)","(43, 47)","(42, 21)","(26, 13)",,,,,,,
"(5, 14)","(6, 43)","(19, 50)","(43, 47)","(42, 21)","(26, 13)",,,,,,,
