"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(65, 39)","(76, 47)","(76, 63)","(59, 69)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(38, 38)","(38, 62)","(54, 71)","(78, 67)","(77, 43)","(60, 34)","(57, 52)",,,,,,,
"(40, 44)","(63, 38)","(75, 45)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(56, 37)","(72, 43)","(76, 63)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(60, 37)","(76, 47)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 44)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(40, 44)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(76, 47)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(75, 45)","(76, 62)","(54, 68)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(75, 46)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 43)","(56, 37)","(76, 47)","(76, 63)","(58, 69)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(57, 37)","(76, 47)","(76, 63)","(51, 67)","(39, 58)","(58, 52)",,,,,,,
"(40, 44)","(57, 37)","(76, 47)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(40, 44)","(61, 37)","(76, 47)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(50, 66)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(54, 68)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 46)","(76, 62)","(51, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(40, 43)","(57, 37)","(76, 47)","(76, 62)","(57, 69)","(39, 57)","(57, 52)",,,,,,,
"(39, 44)","(57, 37)","(76, 47)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 37)","(40, 64)","(55, 71)","(79, 67)","(75, 41)","(61, 34)","(57, 52)",,,,,,,
"(39, 44)","(61, 37)","(76, 47)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(40, 43)","(56, 37)","(73, 43)","(76, 62)","(51, 67)","(39, 57)","(57, 52)",,,,,,,
"(37, 40)","(41, 64)","(55, 71)","(79, 66)","(77, 42)","(60, 34)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(54, 68)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(63, 38)","(76, 47)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 63)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(52, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(76, 47)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(37, 40)","(41, 64)","(55, 71)","(78, 67)","(75, 41)","(60, 34)","(57, 52)",,,,,,,
"(39, 45)","(60, 37)","(76, 47)","(76, 62)","(52, 67)","(40, 59)","(57, 52)",,,,,,,
"(38, 38)","(39, 63)","(54, 71)","(79, 66)","(75, 41)","(60, 34)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(52, 67)","(39, 58)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
"(39, 45)","(61, 37)","(75, 45)","(76, 62)","(51, 67)","(40, 59)","(57, 52)",,,,,,,
