"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(49, 18)","(47, 41)","(65, 52)","(88, 48)","(86, 21)","(71, 14)",2025:01:24_03:33,2025:01:24_03:34,50s,1.0,0.0,0.0,0.0
"(51, 23)","(70, 17)","(82, 23)","(86, 46)","(65, 48)","(53, 42)",,,,,,,
"(51, 23)","(67, 17)","(82, 23)","(87, 42)","(72, 48)","(53, 42)",,,,,,,
"(49, 19)","(51, 44)","(63, 51)","(90, 46)","(87, 22)","(70, 14)",,,,,,,
"(49, 19)","(47, 41)","(63, 51)","(88, 49)","(87, 22)","(70, 14)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(86, 44)","(62, 47)","(50, 38)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(86, 44)","(65, 48)","(53, 42)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(86, 44)","(65, 48)","(53, 42)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(86, 44)","(65, 48)","(53, 42)",,,,,,,
"(51, 23)","(68, 17)","(87, 29)","(86, 44)","(71, 48)","(50, 38)",,,,,,,
"(51, 23)","(70, 17)","(83, 24)","(86, 44)","(67, 49)","(50, 37)",,,,,,,
"(51, 23)","(67, 17)","(82, 23)","(87, 42)","(67, 49)","(50, 37)",,,,,,,
"(51, 24)","(70, 17)","(86, 27)","(87, 42)","(65, 48)","(51, 39)",,,,,,,
"(51, 24)","(70, 17)","(86, 27)","(87, 42)","(65, 48)","(51, 39)",,,,,,,
"(50, 16)","(52, 45)","(64, 51)","(90, 45)","(87, 22)","(70, 14)",,,,,,,
"(48, 20)","(52, 45)","(64, 51)","(91, 45)","(87, 22)","(70, 14)",,,,,,,
"(49, 19)","(50, 44)","(64, 51)","(90, 45)","(87, 22)","(71, 14)",,,,,,,
"(49, 19)","(50, 44)","(64, 51)","(91, 44)","(86, 22)","(71, 14)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(87, 42)","(60, 46)","(50, 37)",,,,,,,
"(50, 17)","(51, 44)","(64, 51)","(89, 47)","(85, 21)","(71, 14)",,,,,,,
"(49, 20)","(48, 42)","(63, 51)","(89, 47)","(85, 21)","(71, 14)",,,,,,,
"(48, 21)","(47, 41)","(63, 51)","(89, 47)","(85, 21)","(71, 14)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(86, 43)","(60, 46)","(50, 37)",,,,,,,
"(51, 23)","(67, 17)","(82, 23)","(86, 43)","(60, 46)","(50, 37)",,,,,,,
"(50, 17)","(47, 41)","(64, 51)","(89, 47)","(87, 22)","(71, 14)",,,,,,,
"(51, 23)","(73, 18)","(86, 26)","(87, 42)","(72, 48)","(55, 43)",,,,,,,
"(49, 19)","(52, 45)","(64, 51)","(90, 45)","(87, 22)","(71, 14)",,,,,,,
"(51, 24)","(70, 17)","(86, 27)","(87, 42)","(65, 48)","(51, 40)",,,,,,,
"(51, 24)","(70, 17)","(86, 27)","(87, 42)","(63, 47)","(51, 40)",,,,,,,
"(51, 24)","(73, 18)","(86, 26)","(87, 42)","(65, 48)","(50, 38)",,,,,,,
"(51, 24)","(71, 17)","(87, 28)","(87, 42)","(65, 48)","(51, 39)",,,,,,,
"(49, 18)","(50, 44)","(64, 51)","(89, 47)","(85, 21)","(70, 14)",,,,,,,
"(51, 24)","(72, 18)","(86, 26)","(87, 42)","(65, 48)","(50, 38)",,,,,,,
"(51, 23)","(73, 18)","(86, 27)","(87, 42)","(71, 48)","(53, 42)",,,,,,,
"(51, 23)","(73, 18)","(86, 27)","(87, 42)","(71, 48)","(53, 42)",,,,,,,
"(51, 24)","(70, 17)","(82, 23)","(86, 44)","(60, 46)","(50, 37)",,,,,,,
"(51, 24)","(70, 17)","(82, 23)","(86, 44)","(60, 46)","(50, 37)",,,,,,,
"(49, 18)","(47, 42)","(64, 51)","(89, 47)","(85, 21)","(71, 14)",,,,,,,
"(49, 19)","(51, 45)","(64, 51)","(89, 47)","(89, 24)","(71, 14)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(87, 42)","(71, 48)","(53, 42)",,,,,,,
"(48, 21)","(52, 45)","(64, 51)","(89, 47)","(87, 22)","(72, 15)",,,,,,,
"(48, 21)","(52, 45)","(64, 51)","(89, 47)","(87, 22)","(72, 15)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(87, 42)","(71, 48)","(50, 38)",,,,,,,
"(51, 23)","(68, 17)","(82, 23)","(87, 42)","(71, 48)","(50, 38)",,,,,,,
"(51, 23)","(66, 18)","(82, 23)","(86, 44)","(62, 47)","(50, 38)",,,,,,,
