"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(51, 37)","(51, 64)","(68, 72)","(90, 69)","(86, 41)","(71, 34)",2025:01:24_02:10,2025:01:24_02:37,1595s,1.0,0.0,0.0,2.0
"(52, 43)","(68, 38)","(83, 43)","(88, 62)","(69, 69)","(51, 57)",,,,,,,
"(51, 37)","(51, 64)","(68, 72)","(90, 69)","(88, 42)","(73, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(49, 62)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(53, 65)","(69, 72)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(53, 65)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 40)","(51, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(71, 37)","(87, 46)","(88, 61)","(69, 69)","(52, 59)","(51, 45)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(92, 65)","(88, 42)","(72, 34)",,,,,,,
"(71, 37)","(87, 46)","(88, 61)","(69, 69)","(52, 59)","(51, 45)",,,,,,,
"(50, 39)","(52, 64)","(65, 71)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(50, 39)","(51, 64)","(68, 72)","(92, 65)","(86, 41)","(72, 34)",,,,,,,
"(50, 39)","(51, 64)","(68, 72)","(92, 65)","(86, 41)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(83, 43)","(88, 62)","(62, 66)","(51, 58)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 67)","(86, 41)","(72, 34)",,,,,,,
"(52, 43)","(67, 38)","(83, 43)","(87, 64)","(67, 68)","(54, 62)",,,,,,,
"(49, 41)","(52, 64)","(65, 71)","(90, 67)","(86, 41)","(72, 34)",,,,,,,
"(49, 41)","(48, 60)","(59, 69)","(91, 65)","(87, 41)","(70, 34)",,,,,,,
"(49, 41)","(48, 60)","(59, 69)","(91, 65)","(87, 41)","(69, 34)",,,,,,,
"(49, 41)","(48, 60)","(59, 69)","(91, 65)","(88, 42)","(69, 34)",,,,,,,
"(52, 43)","(69, 37)","(88, 48)","(87, 63)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(51, 64)","(66, 72)","(91, 65)","(88, 42)","(72, 34)",,,,,,,
"(52, 43)","(69, 37)","(88, 48)","(88, 62)","(72, 68)","(51, 58)",,,,,,,
"(49, 41)","(53, 65)","(66, 72)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
"(49, 41)","(48, 61)","(66, 72)","(90, 67)","(88, 42)","(72, 34)",,,,,,,
