"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(48, 24)","(45, 49)","(61, 59)","(87, 55)","(85, 30)","(67, 22)",2025:01:24_03:08,2025:01:24_03:08,22s,1.0,0.0,0.0,0.0
"(49, 31)","(66, 25)","(85, 36)","(84, 51)","(66, 57)","(48, 45)",,,,,,,
"(49, 31)","(66, 25)","(85, 36)","(84, 51)","(66, 57)","(48, 45)",,,,,,,
"(49, 32)","(68, 25)","(84, 34)","(85, 50)","(61, 55)","(48, 46)",,,,,,,
"(49, 32)","(68, 25)","(84, 34)","(85, 50)","(61, 55)","(48, 46)",,,,,,,
"(46, 28)","(50, 53)","(62, 59)","(87, 55)","(85, 30)","(69, 22)",,,,,,,
"(46, 28)","(50, 53)","(62, 59)","(87, 55)","(86, 30)","(69, 22)",,,,,,,
"(49, 32)","(68, 25)","(83, 34)","(85, 50)","(63, 56)","(49, 47)",,,,,,,
"(47, 26)","(45, 50)","(61, 59)","(87, 55)","(85, 30)","(69, 22)",,,,,,,
"(47, 26)","(49, 52)","(63, 60)","(87, 55)","(85, 30)","(69, 22)",,,,,,,
"(49, 31)","(68, 25)","(82, 32)","(85, 50)","(69, 56)","(51, 50)",,,,,,,
"(49, 31)","(66, 25)","(84, 34)","(85, 50)","(69, 56)","(48, 46)",,,,,,,
"(49, 31)","(67, 25)","(80, 31)","(85, 50)","(70, 56)","(51, 50)",,,,,,,
"(49, 31)","(65, 25)","(80, 31)","(85, 50)","(70, 56)","(51, 50)",,,,,,,
"(48, 33)","(69, 25)","(84, 35)","(85, 50)","(61, 55)","(49, 47)",,,,,,,
"(46, 28)","(50, 53)","(62, 59)","(87, 55)","(85, 30)","(68, 22)",,,,,,,
"(47, 27)","(50, 53)","(62, 59)","(87, 55)","(85, 30)","(69, 22)",,,,,,,
"(48, 24)","(50, 53)","(62, 59)","(87, 55)","(85, 30)","(69, 22)",,,,,,,
