"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(36, 30)","(59, 24)","(71, 31)","(72, 48)","(48, 53)","(35, 44)","(53, 38)",2025:01:24_17:58,2025:01:24_17:59,15s,1.0,0.0,0.0,0.0
"(36, 30)","(59, 24)","(71, 31)","(72, 48)","(48, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 30)","(59, 24)","(71, 31)","(72, 48)","(48, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 30)","(59, 24)","(71, 31)","(72, 48)","(48, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 30)","(59, 24)","(71, 31)","(72, 48)","(48, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 30)","(59, 24)","(71, 31)","(72, 48)","(48, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(53, 23)","(72, 34)","(72, 48)","(57, 54)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(53, 23)","(72, 34)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 29)","(53, 23)","(72, 34)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 30)","(61, 25)","(72, 34)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 30)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(36, 45)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(36, 45)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 32)","(72, 48)","(47, 53)","(36, 45)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(72, 33)","(72, 48)","(47, 53)","(36, 45)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(72, 33)","(72, 48)","(47, 53)","(36, 45)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(72, 33)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(72, 33)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(53, 23)","(72, 33)","(72, 49)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 29)","(52, 23)","(72, 33)","(72, 48)","(47, 53)","(35, 43)","(53, 38)",,,,,,,
"(36, 29)","(52, 23)","(67, 28)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(52, 23)","(72, 33)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(59, 24)","(71, 31)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(52, 23)","(72, 33)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 29)","(53, 23)","(72, 33)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 31)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(35, 31)","(59, 24)","(71, 31)","(72, 48)","(48, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 30)","(57, 23)","(72, 33)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 30)","(61, 25)","(72, 33)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
"(36, 30)","(61, 25)","(72, 33)","(72, 48)","(47, 53)","(35, 44)","(53, 38)",,,,,,,
