"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(36, 27)","(56, 20)","(72, 30)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",2025:01:24_17:57,2025:01:24_17:57,10s,1.0,0.0,0.0,0.0
"(36, 27)","(57, 20)","(72, 30)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
"(35, 28)","(59, 21)","(71, 28)","(72, 45)","(48, 50)","(35, 41)","(53, 35)",,,,,,,
"(35, 28)","(59, 21)","(71, 28)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
"(36, 26)","(53, 20)","(67, 25)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
"(36, 26)","(53, 20)","(72, 30)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
"(36, 27)","(57, 20)","(72, 30)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
"(36, 27)","(57, 20)","(72, 30)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
"(35, 28)","(52, 20)","(72, 30)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
"(35, 28)","(59, 21)","(72, 30)","(72, 45)","(47, 50)","(35, 41)","(53, 35)",,,,,,,
