"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(67, 40)","(82, 34)","(103, 44)","(102, 60)","(78, 63)","(66, 53)",2025:01:24_03:18,2025:01:24_03:20,92s,1.0,0.0,0.0,0.0
"(67, 40)","(82, 34)","(103, 44)","(102, 60)","(78, 63)","(66, 53)",,,,,,,
"(67, 40)","(90, 35)","(101, 42)","(103, 58)","(81, 64)","(67, 55)",,,,,,,
"(65, 35)","(66, 60)","(79, 67)","(105, 63)","(103, 38)","(87, 30)",,,,,,,
"(67, 39)","(82, 34)","(98, 39)","(103, 58)","(78, 63)","(66, 54)",,,,,,,
"(67, 39)","(82, 34)","(98, 39)","(103, 58)","(87, 64)","(66, 54)",,,,,,,
"(65, 35)","(66, 60)","(81, 68)","(105, 63)","(103, 38)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(81, 68)","(104, 65)","(102, 38)","(87, 30)",,,,,,,
"(67, 40)","(88, 34)","(102, 42)","(103, 58)","(81, 64)","(67, 56)",,,,,,,
"(67, 39)","(82, 34)","(98, 39)","(103, 58)","(78, 63)","(66, 54)",,,,,,,
"(67, 39)","(82, 34)","(98, 39)","(103, 58)","(78, 63)","(66, 54)",,,,,,,
"(67, 40)","(86, 33)","(102, 42)","(103, 58)","(81, 64)","(66, 54)",,,,,,,
"(67, 40)","(86, 33)","(102, 42)","(103, 58)","(81, 64)","(66, 54)",,,,,,,
"(64, 37)","(66, 60)","(79, 67)","(105, 63)","(103, 38)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(81, 68)","(105, 63)","(103, 38)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(79, 67)","(105, 63)","(103, 38)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(79, 67)","(105, 63)","(103, 38)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(80, 67)","(105, 63)","(103, 38)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(80, 67)","(105, 62)","(103, 38)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(84, 68)","(105, 62)","(101, 37)","(87, 30)",,,,,,,
"(67, 40)","(88, 34)","(101, 42)","(103, 58)","(79, 63)","(66, 54)",,,,,,,
"(64, 37)","(66, 60)","(80, 67)","(105, 62)","(101, 37)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(80, 67)","(105, 63)","(101, 37)","(87, 30)",,,,,,,
"(64, 37)","(66, 60)","(80, 67)","(105, 63)","(101, 37)","(87, 30)",,,,,,,
"(65, 35)","(66, 60)","(81, 68)","(105, 63)","(103, 38)","(86, 30)",,,,,,,
"(65, 35)","(66, 60)","(81, 68)","(105, 63)","(103, 38)","(86, 30)",,,,,,,
"(67, 39)","(82, 34)","(103, 44)","(102, 60)","(78, 63)","(66, 54)",,,,,,,
"(67, 39)","(86, 33)","(98, 39)","(103, 58)","(87, 64)","(66, 54)",,,,,,,
"(67, 40)","(82, 34)","(98, 39)","(102, 59)","(78, 63)","(66, 54)",,,,,,,
"(87, 30)","(64, 37)","(63, 56)","(79, 67)","(106, 61)","(105, 40)",,,,,,,
"(87, 30)","(63, 41)","(63, 57)","(79, 67)","(106, 61)","(105, 40)",,,,,,,
