"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center
"(41, 14)","(41, 40)","(56, 48)","(81, 42)","(78, 19)","(62, 11)","(59, 29)"
"(41, 14)","(41, 40)","(56, 48)","(81, 42)","(78, 19)","(62, 11)","(59, 29)"
"(41, 14)","(41, 40)","(56, 48)","(81, 42)","(78, 18)","(62, 11)","(59, 29)"
