"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center
"(35, 36)","(57, 28)","(72, 38)","(72, 53)","(47, 58)","(35, 49)","(53, 43)"
"(35, 36)","(57, 28)","(72, 38)","(72, 53)","(47, 58)","(35, 49)","(53, 43)"
"(35, 36)","(59, 29)","(71, 37)","(72, 53)","(48, 58)","(35, 49)","(53, 43)"
"(35, 36)","(59, 29)","(71, 37)","(72, 53)","(48, 58)","(35, 49)","(53, 43)"
"(35, 36)","(59, 29)","(71, 37)","(72, 53)","(48, 58)","(35, 49)","(53, 43)"
"(35, 36)","(59, 29)","(72, 38)","(72, 53)","(47, 58)","(35, 49)","(53, 43)"
"(35, 36)","(59, 29)","(72, 38)","(72, 53)","(47, 58)","(35, 49)","(53, 43)"
"(35, 36)","(57, 28)","(71, 36)","(72, 53)","(48, 58)","(35, 49)","(53, 43)"
"(35, 36)","(57, 28)","(72, 38)","(72, 53)","(48, 58)","(35, 49)","(53, 43)"
"(36, 35)","(59, 29)","(72, 38)","(72, 53)","(47, 58)","(35, 49)","(53, 43)"
"(36, 35)","(56, 28)","(72, 38)","(72, 53)","(47, 58)","(35, 49)","(53, 43)"
"(103, 3)","(92, 16)","(93, 27)","(111, 34)","(127, 20)","(117, 6)","(107, 18)"
"(36, 35)","(57, 28)","(72, 38)","(72, 53)","(48, 58)","(35, 49)","(53, 43)"
"(36, 35)","(57, 28)","(72, 38)","(72, 53)","(48, 58)","(36, 51)","(53, 43)"
