"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",center,Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(28, 38)","(30, 61)","(44, 68)","(69, 64)","(67, 39)","(51, 31)","(48, 50)",2025:01:24_03:36,2025:01:24_03:36,6s,1.0,0.0,0.0,0.0
"(31, 40)","(50, 34)","(66, 44)","(66, 59)","(51, 65)","(30, 55)","(48, 49)",,,,,,,
"(31, 40)","(53, 35)","(66, 44)","(67, 59)","(51, 65)","(30, 55)","(48, 49)",,,,,,,
"(31, 40)","(53, 35)","(66, 43)","(67, 59)","(51, 65)","(30, 55)","(48, 49)",,,,,,,
"(31, 40)","(53, 35)","(66, 43)","(67, 59)","(51, 65)","(30, 55)","(48, 49)",,,,,,,
"(31, 40)","(46, 35)","(67, 45)","(67, 59)","(51, 65)","(30, 55)","(48, 50)",,,,,,,
