"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center
"(29, 22)","(51, 14)","(65, 22)","(66, 39)","(42, 44)","(30, 36)","(47, 29)"
"(29, 22)","(51, 14)","(65, 22)","(66, 39)","(42, 44)","(30, 36)","(47, 29)"
"(29, 22)","(51, 14)","(65, 22)","(66, 39)","(42, 44)","(30, 36)","(47, 29)"
"(29, 22)","(51, 14)","(65, 22)","(66, 39)","(42, 44)","(30, 36)","(47, 29)"
"(29, 22)","(51, 14)","(65, 22)","(66, 39)","(42, 44)","(30, 36)","(47, 29)"
"(29, 22)","(51, 14)","(65, 22)","(66, 39)","(42, 44)","(30, 36)","(47, 29)"
"(29, 22)","(51, 14)","(65, 22)","(66, 39)","(42, 44)","(30, 36)","(47, 29)"
"(29, 22)","(46, 14)","(61, 19)","(66, 39)","(44, 45)","(30, 36)","(47, 29)"
"(29, 22)","(46, 14)","(61, 19)","(66, 39)","(44, 45)","(30, 36)","(47, 29)"
"(29, 22)","(46, 14)","(61, 19)","(66, 39)","(44, 45)","(30, 36)","(47, 29)"
