"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Start Time,Stop Time,Duration,FPS,Red Warning,Orange Warning,Wind Warning
"(196, 150)","(211, 145)","(226, 150)","(230, 171)","(210, 175)","(198, 169)",2025:01:24_03:12,2025:01:24_03:13,26s,1.0,0.0,0.0,0.0
"(196, 150)","(211, 145)","(226, 150)","(230, 171)","(210, 175)","(198, 169)",,,,,,,
"(196, 150)","(211, 145)","(226, 150)","(231, 169)","(214, 175)","(194, 165)",,,,,,,
"(196, 150)","(211, 145)","(226, 150)","(231, 169)","(214, 175)","(194, 165)",,,,,,,
"(196, 150)","(211, 145)","(230, 154)","(231, 169)","(215, 175)","(194, 165)",,,,,,,
"(195, 151)","(218, 146)","(230, 154)","(231, 169)","(207, 174)","(194, 165)",,,,,,,
"(195, 151)","(216, 145)","(229, 152)","(231, 169)","(207, 174)","(194, 165)",,,,,,,
"(195, 151)","(216, 145)","(230, 154)","(231, 169)","(207, 174)","(194, 165)",,,,,,,
"(195, 151)","(216, 145)","(230, 154)","(231, 169)","(207, 174)","(195, 167)",,,,,,,
"(196, 150)","(210, 145)","(226, 150)","(231, 169)","(214, 175)","(194, 165)",,,,,,,
"(196, 150)","(211, 145)","(226, 150)","(231, 169)","(214, 175)","(194, 165)",,,,,,,
"(195, 151)","(216, 145)","(230, 154)","(231, 169)","(207, 174)","(195, 167)",,,,,,,
"(195, 151)","(216, 145)","(230, 154)","(231, 169)","(207, 174)","(195, 167)",,,,,,,
"(195, 151)","(216, 145)","(230, 153)","(231, 169)","(205, 173)","(194, 165)",,,,,,,
"(193, 147)","(194, 171)","(207, 178)","(233, 174)","(231, 149)","(215, 141)",,,,,,,
"(193, 147)","(191, 167)","(216, 178)","(234, 171)","(229, 148)","(214, 141)",,,,,,,
"(195, 151)","(216, 145)","(230, 153)","(231, 169)","(207, 174)","(194, 165)",,,,,,,
"(193, 147)","(194, 171)","(212, 179)","(233, 173)","(231, 149)","(215, 141)",,,,,,,
"(193, 147)","(193, 171)","(207, 178)","(233, 174)","(231, 149)","(215, 141)",,,,,,,
