"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)",Center
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(42, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(53, 24)","(66, 33)","(66, 48)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(47, 23)","(61, 28)","(66, 49)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(47, 23)","(61, 28)","(66, 49)","(41, 53)","(29, 44)","(47, 38)"
"(30, 30)","(47, 23)","(61, 28)","(66, 49)","(41, 53)","(29, 44)","(47, 38)"
