"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(32, 27)","(54, 20)","(67, 28)","(69, 44)","(48, 51)","(33, 42)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(32, 27)","(54, 20)","(67, 28)","(69, 44)","(48, 51)","(33, 42)"
"(30, 21)","(32, 46)","(47, 54)","(72, 48)","(69, 25)","(53, 17)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(32, 27)","(54, 20)","(67, 28)","(69, 44)","(48, 51)","(33, 42)"
"(30, 21)","(32, 46)","(47, 54)","(72, 48)","(69, 25)","(53, 17)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(32, 27)","(54, 20)","(67, 28)","(69, 44)","(48, 51)","(33, 42)"
"(30, 21)","(32, 46)","(47, 54)","(72, 48)","(69, 25)","(53, 17)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(32, 27)","(54, 20)","(68, 29)","(69, 44)","(48, 51)","(33, 42)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
"(33, 26)","(48, 20)","(68, 29)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(30, 21)","(29, 44)","(47, 54)","(70, 51)","(69, 25)","(53, 17)"
"(32, 27)","(54, 20)","(67, 28)","(69, 44)","(48, 51)","(33, 42)"
"(30, 21)","(32, 46)","(47, 54)","(72, 48)","(69, 25)","(53, 17)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(48, 51)","(36, 45)"
"(32, 27)","(54, 20)","(68, 29)","(69, 44)","(48, 51)","(33, 42)"
"(33, 26)","(49, 20)","(65, 26)","(68, 46)","(51, 51)","(32, 40)"
"(33, 26)","(54, 20)","(67, 27)","(68, 46)","(45, 50)","(32, 41)"
