"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(74, 33)","(90, 27)","(106, 33)","(109, 53)","(92, 58)","(73, 47)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(74, 33)","(90, 27)","(106, 33)","(109, 53)","(92, 58)","(73, 47)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(74, 33)","(90, 27)","(106, 33)","(109, 53)","(92, 58)","(73, 47)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(73, 34)","(95, 27)","(109, 36)","(110, 51)","(89, 58)","(74, 49)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(74, 33)","(90, 27)","(106, 33)","(109, 53)","(92, 58)","(73, 47)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(73, 34)","(95, 27)","(109, 36)","(110, 51)","(89, 58)","(74, 49)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(74, 33)","(90, 27)","(106, 33)","(109, 53)","(92, 58)","(73, 47)"
"(71, 30)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(73, 34)","(95, 27)","(109, 36)","(110, 51)","(89, 58)","(74, 49)"
"(72, 28)","(73, 53)","(88, 61)","(113, 55)","(110, 32)","(94, 24)"
"(74, 33)","(90, 27)","(106, 33)","(109, 53)","(92, 58)","(73, 47)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(71, 52)","(88, 61)","(112, 56)","(110, 32)","(95, 24)"
"(71, 30)","(72, 53)","(88, 61)","(112, 56)","(109, 31)","(95, 24)"
