"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 40)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 40)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 40)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(53, 19)","(69, 25)","(73, 44)","(56, 50)","(40, 44)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 40)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(53, 19)","(69, 25)","(73, 44)","(56, 50)","(40, 44)"
"(35, 20)","(34, 44)","(51, 53)","(76, 46)","(72, 23)","(57, 16)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 40)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(53, 19)","(69, 25)","(73, 44)","(56, 50)","(40, 44)"
"(35, 20)","(34, 44)","(51, 53)","(76, 46)","(72, 23)","(57, 16)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(40, 44)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 40)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(53, 19)","(69, 25)","(73, 44)","(56, 50)","(40, 44)"
"(35, 20)","(34, 44)","(51, 53)","(76, 46)","(72, 23)","(57, 16)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(40, 44)"
"(35, 20)","(36, 45)","(51, 53)","(76, 46)","(74, 24)","(57, 16)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 39)"
"(37, 25)","(58, 19)","(72, 28)","(73, 44)","(56, 50)","(36, 40)"
