"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(191, 9)","(204, 22)","(192, 44)","(176, 46)","(162, 31)","(175, 12)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(210, 62)","(193, 54)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(193, 54)"
"(192, 6)","(170, 11)","(160, 29)","(175, 49)","(197, 43)","(207, 25)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(170, 11)","(161, 26)","(175, 49)","(197, 43)","(207, 25)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(191, 9)","(204, 22)","(193, 44)","(176, 46)","(163, 33)","(174, 13)"
"(192, 6)","(170, 11)","(161, 27)","(175, 49)","(197, 43)","(207, 25)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(191, 9)","(204, 22)","(193, 44)","(176, 46)","(163, 33)","(174, 13)"
"(192, 6)","(172, 10)","(161, 27)","(175, 49)","(197, 43)","(207, 25)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(191, 9)","(203, 20)","(193, 44)","(176, 46)","(163, 33)","(174, 13)"
"(192, 6)","(172, 10)","(161, 27)","(175, 49)","(197, 43)","(206, 28)"
"(171, 58)","(171, 83)","(186, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 9)","(205, 29)","(193, 44)","(176, 46)","(163, 33)","(174, 13)"
"(192, 6)","(172, 10)","(161, 27)","(175, 49)","(197, 43)","(207, 26)"
"(193, 53)","(171, 58)","(170, 82)","(186, 91)","(212, 84)","(211, 63)"
"(192, 9)","(205, 28)","(193, 44)","(176, 46)","(162, 32)","(174, 13)"
