"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(31, 25)","(33, 48)","(47, 56)","(73, 49)","(69, 26)","(54, 19)"
"(34, 28)","(55, 22)","(69, 31)","(70, 47)","(53, 53)","(33, 42)"
"(32, 22)","(30, 46)","(48, 56)","(73, 50)","(71, 27)","(54, 19)"
"(34, 28)","(55, 22)","(69, 31)","(70, 47)","(53, 53)","(33, 42)"
"(34, 28)","(55, 22)","(69, 31)","(70, 47)","(46, 52)","(34, 44)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(53, 53)","(33, 42)"
"(33, 29)","(55, 22)","(69, 31)","(70, 47)","(49, 53)","(33, 43)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(49, 53)","(37, 47)"
"(34, 28)","(53, 21)","(66, 28)","(69, 48)","(50, 53)","(36, 46)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(46, 52)","(33, 43)"
"(32, 21)","(33, 48)","(48, 56)","(73, 50)","(70, 27)","(54, 19)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(49, 53)","(37, 47)"
"(34, 28)","(49, 22)","(66, 28)","(69, 48)","(53, 53)","(33, 43)"
"(34, 28)","(49, 22)","(66, 28)","(69, 48)","(50, 53)","(36, 46)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(49, 53)","(35, 46)"
"(34, 28)","(50, 22)","(66, 28)","(70, 47)","(53, 53)","(33, 42)"
"(34, 28)","(51, 21)","(66, 28)","(69, 48)","(50, 53)","(36, 46)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(46, 52)","(34, 44)"
"(31, 24)","(34, 49)","(48, 56)","(73, 50)","(70, 27)","(54, 19)"
"(31, 24)","(33, 48)","(51, 56)","(73, 50)","(70, 27)","(54, 19)"
"(34, 27)","(49, 22)","(65, 27)","(69, 48)","(50, 53)","(36, 46)"
"(34, 28)","(50, 22)","(70, 33)","(69, 48)","(49, 53)","(37, 47)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(45, 52)","(33, 42)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(49, 53)","(37, 47)"
"(33, 29)","(55, 22)","(68, 30)","(70, 46)","(49, 53)","(34, 44)"
"(34, 28)","(49, 22)","(67, 28)","(69, 48)","(52, 53)","(33, 42)"
"(34, 27)","(55, 22)","(67, 28)","(69, 48)","(49, 53)","(36, 46)"
"(33, 29)","(55, 22)","(70, 32)","(70, 46)","(49, 53)","(34, 44)"
"(31, 24)","(33, 48)","(48, 56)","(72, 51)","(71, 27)","(54, 19)"
"(31, 24)","(33, 48)","(48, 56)","(72, 51)","(71, 27)","(54, 19)"
"(31, 24)","(33, 48)","(48, 56)","(72, 51)","(71, 27)","(54, 19)"
"(34, 28)","(49, 22)","(66, 28)","(69, 48)","(46, 52)","(34, 44)"
"(31, 24)","(34, 49)","(48, 56)","(72, 51)","(70, 27)","(54, 19)"
"(31, 24)","(33, 48)","(48, 56)","(72, 51)","(69, 26)","(55, 19)"
"(34, 28)","(50, 22)","(66, 28)","(69, 48)","(46, 52)","(34, 44)"
"(31, 25)","(33, 48)","(48, 56)","(73, 50)","(69, 26)","(54, 19)"
"(31, 24)","(33, 48)","(48, 56)","(71, 53)","(69, 26)","(54, 19)"
"(31, 24)","(33, 48)","(48, 56)","(73, 50)","(69, 26)","(53, 19)"
"(31, 25)","(33, 48)","(49, 56)","(73, 50)","(69, 26)","(53, 19)"
"(31, 24)","(33, 48)","(48, 56)","(71, 53)","(72, 28)","(53, 19)"
"(31, 24)","(33, 48)","(48, 56)","(71, 53)","(69, 26)","(53, 19)"
